SUBCIPHER 0
A : 0.058
B : 0.000
C : 0.000
D : 0.083
E : 0.025
F : 0.041
G : 0.050
H : 0.017
I : 0.025
J : 0.058
K : 0.091
L : 0.033
M : 0.074
N : 0.008
O : 0.000
P : 0.000
Q : 0.000
R : 0.000
S : 0.107
T : 0.025
U : 0.025
V : 0.025
W : 0.198
X : 0.008
Y : 0.033
Z : 0.017


SUBCIPHER 1
A : 0.058
B : 0.000
C : 0.066
D : 0.083
E : 0.050
F : 0.058
G : 0.264
H : 0.017
I : 0.041
J : 0.091
K : 0.157
L : 0.033
M : 0.074
N : 0.083
O : 0.066
P : 0.066
Q : 0.058
R : 0.025
S : 0.107
T : 0.058
U : 0.099
V : 0.083
W : 0.264
X : 0.050
Y : 0.033
Z : 0.017


SUBCIPHER 2
A : 0.066
B : 0.025
C : 0.157
D : 0.091
E : 0.050
F : 0.124
G : 0.289
H : 0.058
I : 0.091
J : 0.132
K : 0.165
L : 0.083
M : 0.198
N : 0.140
O : 0.132
P : 0.083
Q : 0.058
R : 0.033
S : 0.107
T : 0.066
U : 0.182
V : 0.107
W : 0.264
X : 0.083
Y : 0.190
Z : 0.025


SUBCIPHER 3
A : 0.066
B : 0.116
C : 0.174
D : 0.124
E : 0.099
F : 0.264
G : 0.298
H : 0.083
I : 0.091
J : 0.182
K : 0.165
L : 0.083
M : 0.256
N : 0.182
O : 0.182
P : 0.124
Q : 0.074
R : 0.050
S : 0.149
T : 0.174
U : 0.281
V : 0.165
W : 0.281
X : 0.083
Y : 0.215
Z : 0.041


SUBCIPHER 4
A : 0.132
B : 0.124
C : 0.231
D : 0.149
E : 0.322
F : 0.264
G : 0.322
H : 0.091
I : 0.132
J : 0.182
K : 0.165
L : 0.140
M : 0.281
N : 0.264
O : 0.215
P : 0.132
Q : 0.091
R : 0.149
S : 0.223
T : 0.240
U : 0.355
V : 0.165
W : 0.281
X : 0.083
Y : 0.215
Z : 0.041


